63	67	83	100	51	33	44	38
80	53	28	39	63	84	36	21
29	96	43	36	93	20	62	84
72	69	39	97	48	64	47	69
37	88	21	48	74	57	59	88
76	91	91	55	60	49	84	63
58	31	21	95	41	81	83	83
96	96	80	51	69	95	49	35
35	47	92	37	80	61	49	96
96	23	43	46	78	87	76	30
83	76	25	31	60	21	75	58
58	33	77	28	27	78	73	35
30	71	28	58	100	24	53	95
55	96	82	42	79	83	74	20
68	46	57	88	70	24	36	48
22	74	58	58	49	77	67	56
44	42	53	65	91	93	43	32
79	94	74	77	55	46	64	51
79	92	54	48	100	78	29	26
83	41	61	50	76	24	95	68
90	39	90	67	67	77	69	55
80	67	70	63	39	97	68	67
77	69	65	63	20	89	56	73
38	22	38	83	55	59	82	67
98	53	87	74	91	90	90	95
75	69	62	51	52	25	43	47
79	92	41	36	30	62	88	73
69	60	91	92	33	45	24	42
36	47	26	42	40	100	41	86
59	90	72	52	91	36	28	80
86	89	61	24	31	53	70	76
43	42	88	47	52	31	100	29
96	41	36	63	69	70	50	78
57	71	23	70	90	46	67	64
22	88	36	29	80	43	91	83
92	21	99	73	50	58	25	76
54	35	31	39	46	34	40	83
53	74	62	90	26	99	68	97
85	39	62	64	98	89	41	92
84	85	89	73	78	90	61	82
99	26	29	28	20	50	28	76
92	57	90	41	25	58	55	62
80	83	32	28	62	67	84	20
63	22	42	82	78	72	99	74
86	25	98	25	46	59	52	51
82	48	52	86	65	23	30	90
85	95	61	51	83	42	80	25
33	81	62	54	70	32	95	24
34	51	48	97	100	67	75	96
89	67	81	21	62	40	26	100
93	74	36	79	73	65	20	91
64	59	72	56	49	52	70	23
21	38	74	87	61	66	36	56
48	78	55	68	91	61	26	100
44	24	27	56	74	80	85	27
88	21	57	88	61	55	24	65
90	40	89	24	60	54	62	57
82	59	85	75	98	97	64	43
79	99	87	93	84	82	46	70
84	65	33	72	56	94	72	85
55	23	47	60	67	81	64	79
35	83	94	95	90	22	44	56
39	54	87	97	93	82	48	86
36	94	75	48	30	92	76	75
88	50	20	93	57	55	50	37
40	25	72	95	32	20	59	78
41	53	33	90	20	97	56	47
41	58	54	71	63	22	47	44
87	49	28	48	60	99	35	87
65	38	68	35	70	23	97	93
97	60	90	82	50	68	21	24
21	42	39	36	52	86	24	75
35	54	46	73	22	97	92	87
79	43	49	95	57	29	58	47
23	88	96	78	54	51	71	26
51	20	66	23	88	75	59	49
53	86	83	44	91	21	90	25
23	59	34	71	100	49	60	53
53	100	33	66	62	21	50	75
100	93	75	90	33	41	78	41
96	90	24	97	56	79	70	53
56	23	58	22	28	100	67	100
35	65	57	24	23	71	89	62
75	94	30	57	41	28	23	24
51	61	71	63	70	48	49	20
47	49	42	61	47	30	89	38
82	67	75	28	83	95	57	45
76	65	54	97	24	86	20	45
91	72	41	93	100	88	64	67
57	92	26	87	92	67	90	29
23	24	61	25	64	51	54	60
64	24	60	51	32	46	60	74
68	30	37	48	36	25	38	59
29	39	27	92	20	72	52	44
80	70	68	80	55	94	52	70
95	63	91	86	80	93	36	35
66	33	80	65	69	93	28	93
56	31	84	94	24	98	63	82
73	63	23	38	93	97	43	79
44	34	28	35	21	79	24	68
81	96	92	36	86	65	23	84
51	40	72	63	99	84	100	87
37	38	96	34	31	28	25	42
45	50	52	41	25	84	76	43
33	84	30	44	35	48	91	96
40	91	41	98	26	52	80	60
20	42	63	94	32	68	79	65
62	45	47	23	91	74	31	99
46	23	64	44	49	50	75	37
22	24	79	46	25	68	31	30
75	22	94	67	32	20	30	72
58	75	85	46	84	72	21	37
90	45	64	62	27	38	41	22
70	46	92	41	74	66	63	42
45	67	43	43	21	54	56	44
52	82	46	82	56	38	91	54
41	39	71	46	43	67	78	68
97	27	48	45	65	32	94	33
62	66	73	37	60	35	60	78
22	79	36	38	68	76	31	55
66	24	65	83	82	33	79	50
67	38	55	62	71	27	70	77
54	32	28	35	58	98	38	45
43	45	80	40	78	98	27	60
29	60	25	80	50	72	73	71
